Feiertage;Art;von;bis;Beschreibung
Internationale Tag des Gedenkens an die Opfer des Holocaust ;säkular;27.01.2018;;Der damalige Bundespräsident Roman Herzog erklärte im Jahr 1996 den 27. Januar als Jahrestag der Befreiung der Überlebenden aus dem Konzentrationslager Auschwitz zum Tag des Gedenkens an die Opfer des Nationalsozialismus. 2005 wurde der Tag durch die Vereinten Nationen zum Internationalen Tag erklärt, der an alle Menschen erinnern soll, die unter der nationalsozialistischen Gewaltherrschaft entrechtet, verfolgt, gequält und ermordet wurden. In Köln gibt es seit 1998 den Jugend- und Schülergedenktag. Schülerinnen und Schülern befassen sich in informativen, oft sehr bewegenden Beiträgen unter ganz unterschiedlichen Perspektiven mit dem Nationalsozialismus und dem Gedenken an die Opfer der NS-Herrschaft. Die Ergebnisse werden jedes Jahr am 27. Januar in einem Bühnenprogramm und einer Ausstellung vorgestellt.
Ninive-Fasten;christ.ortho./altorientl.;29.01.2018;01.02.2018;"Ein dreitägiger Fastenbrauch in der Syrisch-Orthodoxen und der Koptischen Kirche, der an die Stadt Ninive erinnert. Deren Bewohner
baten durch ein Fasten um Vergebung ihrer Sünden. Sie werden als Vorbild genommen, weil sie auf die Warnung Gottes durch den Mund
des Propheten Jona hörten."
Tu biSchevat / ??? ???? ??????? ;jüdisch;31.01.2018;;"Das Neujahr der Bäume: Wörtlich bezeichnet das Fest den fünfzehnten Tag des Monats Schwat. Es wird der Natur, die aus dem
Winterschlaf erwacht, gedacht. In Israel begeht man ihn heute mit allen Schulkindern, die an diesem Tag insbesondere neue Bäume
pflanzen und auch außerhalb Israels pflanzen Juden Bäume an. Es ist üblich, besonders viele verschiedene Früchte zu essen."
Darstellung des Herrn im Tempel (Lichtmess);christ.evan./kath.;02.02.2018;;"Das Fest wird vierzig Tage nach Weihnachten als Abschluss der Weihnachtszeit gefeiert. Frauen galten vierzig Tage nach einer Geburt
als rituell unrein. Aus diesem Grund pilgerte Maria zu ihrer „Reinigung“ in den Tempel nach Jerusalem. Jesus wurde zum Priester
gebracht und vor Gott „dargestellt“. Im Tempel priesen der Alte Simeon und die Prophetin Hanna das Kind als den Erlöser. In den
Altorientalischen Kirchen folgt der Eucharistiefeier eine Prozession."
H?z?r-Fasten;alevitisch;06.02.2018;08.02.2018;H?z?r ist der unsterbliche Heilige, der allen in Not zur Hilfe kommt und meist mit den Worten „Eile herbei, H?z?r!“ gerufen wird. Die zweite Februarwoche wird als die „Woche von H?z?r“ gefeiert. Drei Tage lang (Dienstag, Mittwoch und Donnerstag) wird gefastet. Eine spezielle Speise (Kavut) aus Weizen wird am letzten Abend vorbereitet, die über Nacht ruht. Jedes Familienmitglied wünscht sich etwas Besonderes. Man glaubt, dass die Wünsche in Erfüllung gehen, wenn H?z?r über Nacht von der Speise kostet oder ein Zeichen (Segen) darauf hinterlässt. Am Abend werden die vorbereiteten Speisen an den heiligen Gedenkstätten bzw. Cemhäusern mit allen Besuchern gemeinsam genossen.
Weiberfastnacht / Wieverfastelovend;säkular;08.02.2018;;Weiberfastnacht markiert den Übergang vom Sitzungs- zum Straßenkarneval am Donnerstag vor Aschermittwoch. Gemein ist allen Bräuchen zur Weiberfastnacht, dass den Frauen für einen Tag die Macht zugestanden wird. Diese Idee gibt es seit dem Mittelalter. In einer Zeit, als die Frauen den Männern in allem untergeordnet waren und die Männer über die Frauen die Geschlechtsvormundschaft ausübten, galt es als „verkehrte Welt“, wenn den Frauen die Macht überlassen wurde. Im gesamten Rheinland gilt Weiberfastnacht als inoffizieller Feiertag, an den meisten Arbeitsplätzen wird ab mittags nicht mehr gearbeitet. Die Feiern beginnen meist um 11:11 Uhr. Im Unterschied zum Rosenmontag und den anderen Tagen gibt es in der Regel an Weiberfastnacht keine Umzüge, es wird kostümiert in den Kneipen und auf den Straßen gefeiert. Es ist an diesem Tag seit Mitte des 20. Jahrhunderts Brauch, dass Frauen den Männern die Krawatte als Symbol der männlichen Macht abschneiden. Sofern der Träger der Krawatte dem Abschneiden nicht zuvor zugestimmt hat, kann eine Eigentumsverletzung vorliegen, wie das Amtsgericht Essen zugunsten eines Klägers entschied.
Rosenmontag;säkular;12.02.2018;;"Der Rosenmontag wird insbesondere im rheinischen Karneval als Höhepunkt der Karnevalszeit, oft mit dem so genannten Rosenmontagszug, begangen. Er fällt auf Montag vor dem Aschermittwoch; 48 Tage vor dem Ostersonntag. Der erste organisierte Karnevalszug fand am 10. Februar 1823 in Köln statt. Von Köln aus verbreitete sich das Rosenmontagsdatum bald im gesamten deutschen Fastnachtsbrauchtum. Der erste Düsseldorfer Rosenmontagszug startete am 14. Februar 1825, der erste Rosenmontagszug in Mainz ging am 26. Februar 1838."
Veilchendienstag;säkular;13.02.2018;;Der Veilchendienstag (auch Faschingsdienstag, Karnevalsdienstag) ist die Bezeichnung für den letzten der Karnevalstage. Um Mitternacht in der Nacht zum Aschermittwoch gibt es zahlreiche Rituale, mit denen die Karnevalsfeierlichkeiten beendet werden. Hierzu gehören die Nubbelverbrennungen, aber auch die symbolische Beerdigung von Karneval.
Aschermittwoch;christ.evan./kath.;14.02.2018;;"Mit diesem Tag beginnt die vierzigtägige Vorbereitungszeit auf Ostern, die als Fasten- oder Passionszeit gilt, d.h. mit Verzicht, Gebet und
guten Werken bereiten sich die Gläubigen auf den Leidensweg Jesu vor. Die 40 Tage haben ihr Vorbild in Jesus selbst, der auch 40 Tage
und Nächte in der Wüste fastete. An Sonntagen wird nicht gefastet. Diese Zeit ist von Umkehr und Buße geprägt. Nach katholischer
Tradition erhalten die Gläubigen am Aschermittwoch ein Aschekreuz auf die Stirn."
Beginn der Fastenzeit;christ.evan./kath.;14.02.2018;29.03.2018;Das Christentum kennt vornehmlich die 40 Tage der Fastenzeit, die der Vorbereitung auf Ostern dienen und an die 40 Tage erinnern, die Jesus Christus fastend und betend in der Wüste verbrachte. 
Maha Shivarati;hinduistisch;14.02.2018;;Die große Nacht Shivas, in der er den Tanz der ursprünglichen Schöpfung, Erhaltung und Zerstörung tanzt und sich mit Parvati vermählt.
St. Valentin;säkular;14.02.2018;;Der Ursprung des Tags ist in mehreren Varianten überliefert, die sich nicht mehr genau prüfen lassen. Besonders häufig wird er Valentin von Terni zugeschrieben. Valentin soll als Priester Paare trotz des Verbots durch Kaiser Claudius II. nach kirchlichem Ritus getraut haben. Dabei soll er den Paaren auch Blumen aus seinem Garten geschenkt haben - was sich heute im Brauchtum am Valentinstag wiederfindet.  Der 14. Februar galt im Volksglauben auch als einer der sogenannten Lostage, denen zukunftsbestimmende Bedeutung im Guten wie im Schlechten zugeschrieben wurde. Seit dem 15. Jahrhundert wurden in England Valentinspaare gebildet, die sich kleine Geschenke oder Gedichte schicken. Die Paare bildeten sich durch Losen am Vorabend oder durch den ersten Kontakt am Valentinstag. Englische Auswanderer nahmen den Valentinsbrauch mit in die Vereinigten Staaten, und er kam so durch US-Soldaten nach dem Zweiten Weltkrieg in den westlichen Teil Deutschlands. Allgemein bekannt wurde der Valentinstag durch die vor dem 14. Februar verstärkt einsetzende Werbung der Floristen und der Süßwarenindustrie.
Darstellung des Herrn im Tempel (Lichtmess);christ.ortho./altorientl.;15.02.2018;;"Das Fest wird vierzig Tage nach Weihnachten als Abschluss der Weihnachtszeit gefeiert. Frauen galten vierzig Tage nach einer Geburt
als rituell unrein. Aus diesem Grund pilgerte Maria zu ihrer „Reinigung“ in den Tempel nach Jerusalem. Jesus wurde zum Priester
gebracht und vor Gott „dargestellt“. Im Tempel priesen der Alte Simeon und die Prophetin Hanna das Kind als den Erlöser. In den
Altorientalischen Kirchen folgt der Eucharistiefeier eine Prozession."
Parinirvana Day;buddhistisch;15.02.2018;;"An diesem Tag feiern Buddhisten den Todestag des historischen Buddhas bzw. sein Übergehen ins Nirvana. Parinirvana ein Synonym für Nirvana bedeutet übersetzt das Erlöschen des Buddha. Unter diesem Tag ist kein gewöhnlicher Trauertag vorzustellen, sondern vielmehr ein Feiertag der buddhistischen Glaubensrichtung. Buddha erreichte an diesem Tag das Parinirvana, über den Tod seines physischen Körpers und ist damit vom einen Zustand in den nächsten übergegangen. Eines seiner letzten Zitate vor seinem Tod war: ""Alle Dinge sind dem Verfall unterworfen. Strebt eure Befreiung mit Gewissenhaftigkeit an"". Gläubige nutzen diesen Tag als Gelegenheit zur Besinnung, indem Sie sich in Tempeln und Klöstern zurückziehen und meditieren."
Vietnamesisches und chinesisches Neujahr;buddhistisch;16.02.2018;;Dieser Tag, der auch Fest des Morgens oder Frühlingsfest genannt wird, stellt den wichtigsten vietnamesischen sowie chinesischen Feiertag dar. Nach dem Mondkalender handelt es  sich hierbei um das Fest des neuen Jahres. Dieser beginnt am ersten Tag des ersten Monats des chinesischen Mondkalendars und wird in der Regel bis zum 15. Tag gefeiert. Mit dem Neujahrsbeginn beginnt auch die Frühlingszeit, weshalb viel Wert auf Dekoration gelegt wird, wie z.B. einem Neujahrsbaum oder dem Beschmücken von Häusern und Straßen. An diesem Tag besuchen landesweit Ostasiaten traditionell Tempel und ihre Familien. Gemeinsam werden Festspeisen zubereitet und gefeiert. 
Internationaler Tag der Muttersprache;säkular;21.02.2018;;Auf Vorschlag der UNESCO haben die Vereinten Nationen den 21. Februar als Internationalen Tag der Muttersprache ausgerufen. Er wird seit 2000 jährlich begangen. Von den rund 6.000 Sprachen, die heute weltweit gesprochen werden, sind nach Einschätzung der UNESCO die Hälfte vom Verschwinden bedroht. Sprachliche und kulturelle Vielfalt repräsentieren universelle Werte, die Einheit und Zusammenhalt einer Gesellschaft stärken. Der Internationale Tag der Muttersprache erinnert an die Bedeutung des Kulturgutes Sprache. Er soll die Sprachenvielfalt und den Gebrauch der Muttersprache fördern und das Bewusstsein für sprachliche und kulturelle Traditionen stärken. Historisch nimmt der Tag der Muttersprache Bezug auf den 21. Februar 1952. Damals fand in Dhaka, der Hauptstadt des damaligen Ost-Pakistan, eine Demonstration gegen den Beschluss der Regierung statt, die Sprache Urdu zur Amtssprache zu erheben. (https://www.unesco.de/kultur/welttage/welttag-muttersprache.html)
Ayyám-i-Há;bahai;25.02.2018;01.03.2018;"Die Ayyam-i-ha sind ein fester Bestandeil des Bahá'í-Kalenders. Der Baha'í-Kalender beruht auf dem Sonnenjahr und beginnt jährlich zur Frühlings-Tag-und-Nachtgleiche. Dreh- und Angelpunkt der Konstruktion des Kalenders ist die Zahl 19. Entsprechend kennt der Bahá'i-Kalender 19 Monate mit je 19 Tagen, wobei ein Kalendertag mit dem Sonnenuntergang des vorangehenden Tages beginnt. Die Ayyam-i-Há sind die eingeschobenen Tage, die zunächst dazu dienen den Kalender regelmäßig an das Sonnenjahr anzugleichen. Nach diesem Kalendersystem der Bahá'i fallen die Ayyam-i-Há (vier bzw. fünf in Schaltjahren) in die Zeit zwischen dem 18. und dem 19. Monat und liegen nach dem gregorianischen Kalender Ende Februar und Anfang März. Neben dem rein ""ordnenden"", also dem kalendarischen Sinn, haben die Ayyam-i-Há darüber hinaus einen religiösen und symbolischen Wert und sind vor allem der Gastfreundschaft und der Fürsorge anderen Menschen gegenüber gewidmet und sind zugleich Geschenktage. Sie dienen auch der Vorbereitung auf die neunzehntägige Fastenzeit, die sich direkt anschließt 19 Tage (den letzten Bahá'í-Monat) dauert."
Tibetisches Neujahr - Losar;buddhistisch;27.02.2018;;"Ins Deutsche übersetzt, bedeutet ""Losar"" Neujahr. Vom 16. bis zum 18. Februar diesen Jahres feiert man speziell in Tibet den Beginn eines neuen Lebens, indem beispielsweise Familien neue Klamotten kaufen, Streitigkeiten beigelegt oder auch Schulden beglichen werden. Am ersten Tag des Losarfests wird überwiegend in der Familie gefeiert. Häufig werden Speisen zuerst in einer Tsog-Puja den Buddhas dargeboten. Der zweite Tag ist religiösen Dingen gewidmet, große Thankas (sakrale Stoffbilder) werden in den Klöstern ausgehängt, Cham-Tänze bewundert und an Klosterzeremonien teilgenommen. Am dritten Tag wird in der Öffentlichkeit gefeiert, meist unter freiem Himmel. Da dem Geburstag in der Kultur der Tibeter nicht so viel Bedeutung zugesprochen wird, feiert man i. d. R. zu Losar auch Geburtstag und wird ein Jahr älter."
Purimfest / ?????;jüdisch;01.03.2018;;Als die Juden nach der Zerstörung des ersten Tempels in Persien lebten, versuchte ein Minister (Haman), den König dazu zu bringen, alle Juden umzubringen. Dieser war allerdings mit Esther verheiratet (von der er anfangs nicht wußte, dass sie Jüdin war), die zusammen mit ihrem Onkel (Mordechai) das Komplott verhinderte. Die Gebote dieses Tages sehen neben der Vorlesung der Geschichte aus der „Rolle Esther“ (Megilath Esther) u.a. die Verteilung des traditionellen Gebäcks (Hamantaschen) an Bedürftige und Freunde vor. Üblich ist es, dass die Kinder sich an diesem Tag verkleiden und die Gemeinde fröhlich feiert. Der Tag vor Purim ist ein Fastentag.
Beginn Fastenmonat Ala;bahai;02.03.2018;20.03.2018;Während der neunzehntägigen Fastenzeit enthalten sich Bahá’í von Sonnenaufgang bis Sonnenuntergang von Speisen und Getränken.
Holifest;hinduistisch;02.03.2018;;"Geburtstag des Gelehrten und Heiligen Chaitanya (1486-1534), der als die Verkörperung der Liebe von Radha zu Krishna gilt, in
Westbengalen Tausende mit dieser Bhakti (Liebe/Hingabe zu Gott) ansteckte und Kastenunterschiede ablehnte.
Holi, das Fest der Farben dauert je nach Region 2-10 Tage. Am ersten Tag wird eine Strohpuppe des Dämonen Holika verbrannt. Am
zweiten Tag besprenkeln sich die Menschen gegenseitig mit gefärbtem Pulver oder Wasser. Dabei werden alle Kasten-, Alters- und
Geschlechtsunterschiede aufgehoben."
Hola Mohalla;sikh;02.03.2018;04.03.2018;Das Festival Hola Mohalla wird in der heiligen Sikh-Stadt Anandpur Sahib im Bundesstaat Punjab am Schrein von Keshgarh Sahib gefeiert. 1699 soll Guru Gobind Singh Ji hier fünf Männer getauft und die Bruderschaft Khalsa Panth gegründet haben, auf welcher der heutige Sikh-Glaube beruht. Drei Tage lang finden Schaukämpfe statt. Besonders in Aktion sind dabei die kriegerischen Nihang.
Weltgebetstag;säkular;02.03.2018;;Der Weltgebetstag ist die größte ökumenische Basisbewegung von Frauen. Der Weltgebetstag wird in über 170 Ländern in ökumenischen Gottesdiensten begangen. Vor Ort bereiten Frauen unterschiedlicher Konfessionen gemeinsam die Gestaltung und Durchführung der Gottesdienste vor. Jedes Jahr schreiben Frauen aus einem anderen Land der Welt die Gottesdienstordnung zum Weltgebetstag. Der Austausch und die sichtbare Gemeinschaft aller christlichen Frauen in der Welt waren von Anfang an das gemeinsame Anliegen des Weltgebetstages. Darum werden die Gebete und die Texte dieses Tages im jährlichen Wechsel von Frauen aus einem anderen Land vorgeschlagen und verfasst. Die beteiligten Frauen spiegeln dabei die Basis ihres Landes wider und repräsentieren die unterschiedlichen christlichen Konfessionen, aus denen sie kommen.
Internationaler Tag der Frauen;säkular;08.03.2018;;Der Internationale Frauentag entstand als Initiative sozialistischer Organisationen in der Zeit um den Ersten Weltkrieg im Kampf um die Gleichberechtigung, das Wahlrecht für Frauen und die Emanzipation von Arbeiterinnen. Am 16. März 1977 verabschiedete die UN-Generalversammlung eine UN-Resolution, die alle Staaten darum bat, einen Tag des Jahres zum Tag der Vereinten Nationen für die Rechte der Frau und den Weltfrieden zu erklären. Heute ist der 8. März in Angola, Armenien, Aserbaidschan, Burkina Faso, Eritrea, Georgien, Guinea-Bissau, Kasachstan, Kambodscha, Kirgisistan, Laos, Madagaskar, Moldawien, in der Mongolei, in Nepal, Russland, Sambia, Serbien, Tadschikistan, Turkmenistan, Uganda, in der Ukraine, in Usbekistan, Vietnam und Weißrussland ein gesetzlicher Feiertag. In der VR China ist der Nachmittag für Frauen arbeitsfrei.
Neujahr der Sikh;sikh;14.03.2018;;Erster Tag des Neujahres 549. Der Sikh-Kalender beginnt 1469, also mit Guru Nanaks Geburtsjahr. 
Equal Pay Day;säkular;18.03.2018;;Der Equal Pay Day markiert symbolisch die geschlechtsspezifische Lohnlücke. Umgerechnet ergeben sich daraus 77 Tage, die Frauen 2017 umsonst arbeiten. Der Gender Pay Gap (GPG) beschreibt dabei die geschlechtsspezifische Lohnlücke: den prozentualen Unterschied im durchschnittlichen Bruttostundenverdienst von Männern und Frauen. Die vom Statistischen Bundesamt errechneten Bruttostundenlöhne der Frauen betrugen im Jahr 2016 16,26 Euro, während Männer auf 20,71 Euro kamen. Damit liegt die Lohnlücke in Deutschland bei 21 Prozent. (Weitere Informationen: https://www.destatis.de/DE/ZahlenFakten/ImFokus/VerdiensteArbeitskosten/Verdienstunterschiede.html)
Internationaler Tag gegen Rassismus;säkular;21.03.2018;;"Im Jahr 1966 haben die Vereinten Nationen den 21. März als ""Internationalen Tag zur Überwindung von Rassendiskriminierung"" ausgerufen, in Reaktion auf die blutige Niederschlagung einer  friedliche Demonstration gegen die Apartheid in Sharpeville in Südafrika. Trotz der erreichten Fortschritte ernüchtern und alarmieren weiterhin Rassismus - unter anderem in Arbeitswelt und Schule - und Diskriminierung gegenüber Migranten und Geflüchteten. Rassismus besteht fort auf allen Ebenen der Gesellschaft. Der Internationale Tag bietet Gelegenheit, den Reichtum der kulturellen Vielfalt und aufrichtigen Respekt und Toleranz für den andersartigen Mitmenschen zu betonen. Rassistische Gewalt, Stereotypen in den Medien und Alltagsdiskriminierung daran, dass der Widerstand und der Kampf gegen den Rassismus eine alltägliche Herausforderung für unsere plurale und vielfältige Gesellschaft bleibt. "
Náw Ruz;bahai;21.03.2018;;"Der Jahresbeginn der Bahá’í wird zu Naw-Rúz (Neuer Tag) gefeiert, dem Tag, an dem die Sonne den Frühlingspunkt erreicht. Mit dem
Naw-Rúz-Fest geht die vorausgegangene 19-tägige Fastenzeit zu Ende."
Newruzfest;alevitisch;21.03.2018;;Mit dem Newroz-Fest am 21. März begrüßen Aleviten feierlich den Frühling und die Wiederbelebung der Natur. Gleichzeitig feiern sie den Geburtstag des Heiligen Ali. Er verkörpert für sie das göttliche Licht.
Welt-Down-Syndrom-Tag;säkular;21.03.2018;;An diesem Tag werden weltweit Veranstaltungen organisiert, die das öffentliche Bewusstsein für die Thematik des Down-Syndroms steigern sollen. Das gewählte Datum, der 21. März, symbolisiert das charakteristische Merkmal des Down-Syndroms, nämlich das dreifache Vorhandensein des 21. Chromosoms.
Nacht der Rega’ib / Regaip Kandili ;islamisch;22.03.2018;23.03.2018;"In der Nacht vom ersten Donnerstag auf den Freitag im Monat Radschab begehen die Muslime die so genannte Rega’ib-Nacht. Das Wort
Rega’ib kommt aus dem Arabischen und bedeutet so viel wie „wertvolles Geschenk“ oder „etwas, das man sich aus tiefstem Herzen
wünscht“. In solchen Nächten werden Gottes Segen, seine Hilfe sowie die geistige Erneuerung, mit der er die Menschen beschenkt,
ihnen mehr denn je zuteil."
Mariä Verkündung;christ.evan./kath.;25.03.2018;;In vielen christlichen Konfessionen wird am 25. März das Fest der Verkündigung des Herrn gefeiert. Es wird auch Mariä Verkündigung oder Empfängnis Christi genannt. An diesem Tag feiert die Kirche das im Lukasevangelium dargestellte Ereignis der Verheißung der Geburt Jesu an Maria. Der Engel Gabriel kommt zu Maria nach Nazaret und kündigt ihr die Geburt ihres Sohnes Jesus durch die Kraft des Heiligen Geistes an. Das Festdatum ist vom liturgischen Datum der Geburt Jesu, dem 25. Dezember, abgeleitet - nämlich genau neun Monate vorher. Trotz seiner Nähe zu Karfreitag und Ostern hat der Tag weihnachtlichen Charakter. Er betrachtet die Menschwerdung des Gottessohnes und zählt daher zu den Herrenfesten und zu den Marienfesten. Die römisch-katholische Kirche begeht seit 1969 den 25. März als Hochfest. Wenn dieser Tag auf einen Sonntag der Fastenzeit fällt, wird das Fest am darauffolgenden Montag nachgeholt. In der orthodoxen Kirche zählt das Fest zu den zwölf Hauptfesten. Es wird keinesfalls verlegt. Sogar am Karfreitag wird in diesem Fall die entsprechende Liturgie gefeiert. 
Palmsonntag;christ.evan./kath.;25.03.2018;;"Eine Woche vor Ostern feiert die Kirche den Einzug Jesu Christi nach Jerusalem, wo er seinem Leiden, Tod und seiner Auferstehung
entgegen ging, woran im Lauf der nun beginnenden Woche (Große Woche/Heilige Woche/Karwoche) gedacht wird. Seinen Namen hat
dieser letzte Sonntag der Fastenzeit von den Palmen, mit denen die Gläubigen – ähnlich wie die Menschen damals in Jerusalem –
Christus in einer gottesdienstlichen Prozession als Retter begrüßen."
Ram Navami;hinduistisch;25.03.2018;;Der Erscheinungstag Ramas, der siebten Inkarnation Vishnus und Held des Sanskrit-Epos Ramayana.
Gründonnerstag;christ.evan./kath.;29.03.2018;;"Am Abend des Gründonnerstags gedenken Christen besonders des letzten Abendmahls Jesu mit seinen Jüngern am Vorabend der
Kreuzigung. In diesem Mahl nimmt Jesus seinen Tod bereits voraus und trägt seinen Jüngern auf, das Mahl in diesem Sinne zu seinem
Gedächtnis immer wieder zu feiern. Auch erinnert der Gründonnerstag an die Nacht, in der Jesus verraten und gefangen genommen
wurde."
Ende christl. Fastenzeit;christ.evan./kath.;29.03.2018;;-
Karfreitag;christ.evan./kath.;30.03.2018;;"Dies ist der Tag der Kreuzigung und des Todes Jesu. Christen erinnern sich der Leiden und des Todes Jesu und glauben, dass durch
den Tod des Gottessohnes auch ihr Tod überwunden wurde. Für evangelische Christen gilt der Karfreitag vielfach als höchster Feiertag.
Er wird als stiller Feiertag begangen. Früher war der Karfreitag ein Tag des strengen Fastens, bis heute wird in vielen katholischen
Familien Fisch gegessen."
Pessachfest / ?????? (jüdisch);jüdisch;30.03.2018;07.04.2018;Nach der Sklaverei in Ägypten erreicht Gott durch die zehn Plagen, die er über Ägypten schickt, dass die Kinder Israels ausziehen dürfen. Am siebten Tag des Auszugs durchquerten sie das Schilfmeer, das sich für sie auftat. In Erinnerung daran darf sieben Tage lang nichts „Gesäuertes“ gegessen werden (Mehl geht ab ca. 18 Minuten nach der Verbindung mit Wasser auf, dies nennt man Gesäuertes). Statt Brot wird daher Mazza (ungesäuertes Brot) gegessen. Am ersten Abend feiert man in der Familie den Seder. Dafür benutzt man die Pessach-Hagadah, ein Buch, das den Auszug aus Ägypten beschreibt und darüber hinaus die traditionelle Abfolge des Seder-Essens.
Ostersonntag;christ.evan./kath.;01.04.2018;;"Die christliche Gemeinde feiert die Auferstehung Jesu Christi von den Toten, in der der Tod überwunden ist. Ostern ist ein Freudenfest
und das christliche Hauptfest. Jeder Sonntag im Kirchenjahr feiert dieses Osterfest. Ostern ist das Fest der Taufe, und in der Osternacht
werden viele Menschen getauft."
Palmsonntag;christ.ortho./altorientl.;01.04.2018;;"Eine Woche vor Ostern feiert die Kirche den Einzug Jesu Christi nach Jerusalem, wo er seinem Leiden, Tod und seiner Auferstehung
entgegen ging, woran im Lauf der nun beginnenden Woche (Große Woche/Heilige Woche/Karwoche) gedacht wird. Seinen Namen hat
dieser letzte Sonntag der Fastenzeit von den Palmen, mit denen die Gläubigen – ähnlich wie die Menschen damals in Jerusalem –
Christus in einer gottesdienstlichen Prozession als Retter begrüßen."
